chip_id,type,rationale,continent,lat,lon,panel_frac,dice,recall,precision,gt_px,pred_px,frac_year_2024,poly_total_area_m2,poly_2024_area_m2,n_polys,min_year,max_year,in_b4,in_b8,in_b11,in_ndvi,in_n
c+005369_r+001899,C,"F=0.00, R=0.70, in_b11=782 (between 3330-3583)",Asia,39.97782230166211,123.48170030284211,0.5938,0.7942,0.7041,0.9107,38930,30097,0.0000,3891501,0,6,2017.0,2018.0,755.8,637.7,782.4,-0.0847,38930
c+004608_r+001739,C,"F=1.00, R=0.71, in_b11=3703 (between 3330-3583)",Asia,37.100468012612446,105.98108126373926,0.4411,0.7899,0.7098,0.8905,28923,23054,1.0000,2891039,2891039,2,2024.0,2024.0,2350.9,2698.4,3703.4,0.0688,28923
c+005135_r+001794,C,"F=1.00, R=0.77, in_b11=1337 (between 3330-3583)",Asia,38.1025299615932,118.10043242485251,0.4658,0.7505,0.7699,0.7321,30498,32071,1.0000,3052627,3052627,10,2024.0,2024.0,801.1,584.3,1336.6,-0.1565,30498
c+004782_r+001952,C,"F=0.00, R=0.72, in_b11=3382 (between 3330-3583)",Asia,40.90541233631722,109.98253686532124,0.5426,0.8348,0.7175,0.9982,35567,25565,0.0000,3555832,0,1,2017.0,2017.0,1913.6,2419.3,3382.2,0.1167,35567
c+004141_r+001697,C,"F=0.00, R=0.69, in_b11=3646 (between 3330-3583)",Asia,36.3262049225164,95.24154237903356,0.5484,0.8153,0.6882,1.0,35941,24733,0.0000,3593930,0,1,2019.0,2019.0,2334.1,2450.4,3645.8,0.0243,35941
c+004284_r+001879,C,"F=0.00, R=0.74, in_b11=2696 (between 3330-3583)",Asia,39.62446717553205,98.5300949711383,0.6349,0.8453,0.7381,0.989,41608,31050,0.0000,4160883,0,2,2017.0,2021.0,2043.7,2128.6,2696.2,0.0203,41608
c+004370_r+001685,A,in_b11=2993<3330 (panel-like) AND R=0.66<0.70,Asia,36.10355680177266,100.50782590065585,0.9001,0.794,0.6584,1.0,59003,38846,0.0000,5898890,0,1,2023.0,2023.0,1637.7,2149.1,2992.6,0.1350,59003
c+004284_r+001877,C,"F=0.00, R=0.84, in_b11=2991 (between 3330-3583)",Asia,39.589031843036096,98.5300949711383,0.5602,0.835,0.8413,0.8288,36722,37275,0.0000,3671311,0,2,2021.0,2023.0,2273.6,2411.4,2991.0,0.0294,36722
c+005137_r+001860,A,in_b11=1509<3330 (panel-like) AND R=0.65<0.70,Asia,39.28709986674593,118.14642616739944,0.503,0.7855,0.6539,0.9835,32977,21926,0.7663,3296611,2526282,6,2017.0,2024.0,929.2,879.4,1508.9,-0.0276,32977
c-005147_r+001619,A,in_b11=3067<3330 (panel-like) AND R=0.14<0.70,N_America,34.86772501936808,-118.35339800886058,0.756,0.2484,0.1418,0.9983,49564,7042,0.0000,4954658,0,1,2023.0,2023.0,1645.8,2445.1,3067.3,0.1954,49564
